,Direcção do vento horária (°),Precipitação anual (mm),Precipitação diária (mm),Precipitação diária máxima anual (mm),Precipitação horária (mm),Precipitação mensal (mm),Velocidade do vento horária (m/s),Velocidade do vento máxima horária (m/s),Velocidade do vento média diária (m/s)
1/1/2020 0:00,23,,,,0,,0.8,1.7,
1/1/2020 1:00,68,,,,0,,0.7,1.3,
1/1/2020 2:00,23,,,,0,,0.6,1.3,
1/1/2020 3:00,56,,,,0,,0.8,1.7,
1/1/2020 4:00,11,,,,0,,1.1,1.9,
1/1/2020 5:00,68,,,,0,,0.7,1.4,
1/1/2020 6:00,23,,,,0,,0.6,1.5,
1/1/2020 7:00,56,,,,0,,0.7,1.3,
1/1/2020 8:00,11,,,,0,,0.2,0.9,
1/1/2020 9:00,34,,0,,0,,0.1,0.7,0.6
1/1/2020 10:00,79,,,,0,,0.2,0.9,
1/1/2020 11:00,191,,,,0,,0.5,1.4,
1/1/2020 12:00,169,,,,0,,0.7,2.3,
1/1/2020 13:00,203,,,,0,,0.6,1.7,
1/1/2020 14:00,180,,,,0,,0.5,1.9,
1/1/2020 15:00,214,,,,0,,0.7,2.3,
1/1/2020 16:00,236,,,,0,,0.4,1.7,
1/1/2020 17:00,259,,,,0,,0.2,1.5,
1/1/2020 18:00,360,,,,0,,0.1,0.8,
1/1/2020 19:00,349,,,,0,,0,0.4,
1/1/2020 20:00,326,,,,0,,0.4,0.9,
1/1/2020 21:00,304,,,,0,,0.5,0.9,
1/1/2020 22:00,338,,,,0,,0.3,1,
1/1/2020 23:00,338,,,,0,,0.1,0.5,
2/1/2020 0:00,338,,,,0,,0,0,
2/1/2020 1:00,326,,,,0,,0,0,
2/1/2020 2:00,326,,,,0,,0.1,0.8,
2/1/2020 3:00,338,,,,0,,0.1,1,
2/1/2020 4:00,11,,,,0,,0.1,1,
2/1/2020 5:00,326,,,,0,,0,0.6,
2/1/2020 6:00,45,,,,0,,0,0.6,
2/1/2020 7:00,68,,,,0,,0.1,1,
2/1/2020 8:00,34,,,,0,,0.1,1.2,
2/1/2020 9:00,135,,0,,0,,0.1,0.9,0.2
2/1/2020 10:00,124,,,,0,,0.1,0.8,
2/1/2020 11:00,158,,,,0,,0.2,0.9,
2/1/2020 12:00,101,,,,0,,0.3,1.3,
2/1/2020 13:00,90,,,,0,,0.6,1.7,
2/1/2020 14:00,203,,,,0,,0.3,1.6,
2/1/2020 15:00,146,,,,0,,0.3,1.7,
2/1/2020 16:00,203,,,,0,,0.2,1,
2/1/2020 17:00,113,,,,0,,0.1,0.6,
2/1/2020 18:00,79,,,,0,,0,0.6,
2/1/2020 19:00,79,,,,0,,0,0.4,
2/1/2020 20:00,23,,,,0,,0.2,0.9,
2/1/2020 21:00,45,,,,0,,0,0.4,
2/1/2020 22:00,338,,,,0,,0.1,1,
2/1/2020 23:00,101,,,,0,,0.1,0.7,
3/1/2020 0:00,34,,,,0,,0.1,0.6,
3/1/2020 1:00,79,,,,0,,0.1,1,
3/1/2020 2:00,11,,,,0,,0.1,0.8,
3/1/2020 3:00,11,,,,0,,0,0.7,
3/1/2020 4:00,326,,,,0,,0,0.5,
3/1/2020 5:00,349,,,,0,,0.1,0.7,
3/1/2020 6:00,315,,,,0,,0,0,
3/1/2020 7:00,315,,,,0,,0,0,
3/1/2020 8:00,326,,,,0,,0.1,0.8,
3/1/2020 9:00,315,,0,,0,,0.1,0.6,0.1
3/1/2020 10:00,158,,,,0,,0,0.4,
3/1/2020 11:00,158,,,,0,,0.2,1.3,
3/1/2020 12:00,214,,,,0,,0.5,1.7,
3/1/2020 13:00,214,,,,0,,0.7,2.5,
3/1/2020 14:00,270,,,,0,,0.8,1.9,
3/1/2020 15:00,259,,,,0,,0.7,1.7,
3/1/2020 16:00,270,,,,0,,1.1,2.5,
3/1/2020 17:00,270,,,,0,,0.5,1.5,
3/1/2020 18:00,315,,,,0,,0.2,1,
3/1/2020 19:00,293,,,,0,,0,0,
3/1/2020 20:00,236,,,,0,,0.1,0.8,
3/1/2020 21:00,315,,,,0,,0,0.3,
3/1/2020 22:00,338,,,,0,,0,0.4,
3/1/2020 23:00,23,,,,0,,0.1,0.7,
4/1/2020 0:00,315,,,,0,,0.3,1.4,
4/1/2020 1:00,124,,,,0,,0,0.7,
4/1/2020 2:00,34,,,,0,,0.1,1.3,
4/1/2020 3:00,315,,,,0,,0.6,1.8,
4/1/2020 4:00,23,,,,0,,1.1,2.9,
4/1/2020 5:00,34,,,,0,,2,4.3,
4/1/2020 6:00,34,,,,0,,2.4,5.3,
4/1/2020 7:00,11,,,,0,,2.1,4.4,
4/1/2020 8:00,79,,,,0,,1.7,3.7,
4/1/2020 9:00,56,,0,,0,,1.2,2.5,0.7
4/1/2020 10:00,56,,,,0,,1.2,2.7,
4/1/2020 11:00,135,,,,0,,1.2,2.6,
4/1/2020 12:00,34,,,,0,,1.1,2.9,
4/1/2020 13:00,135,,,,0,,1,3.7,
4/1/2020 14:00,101,,,,0,,1.1,2.9,
4/1/2020 15:00,113,,,,0,,1.1,2.4,
4/1/2020 16:00,23,,,,0,,0.9,2,
4/1/2020 17:00,293,,,,0,,0.7,2.4,
4/1/2020 18:00,34,,,,0,,0.6,1.5,
4/1/2020 19:00,34,,,,0,,0.8,1.7,
4/1/2020 20:00,11,,,,0,,1,2,
4/1/2020 21:00,23,,,,0,,1,2,
4/1/2020 22:00,45,,,,0,,0.9,1.6,
4/1/2020 23:00,56,,,,0,,0.9,2.5,
5/1/2020 0:00,349,,,,0,,1,2.6,
5/1/2020 1:00,34,,,,0,,0.9,1.7,
5/1/2020 2:00,45,,,,0,,0.8,1.7,
5/1/2020 3:00,45,,,,0,,1,2.4,
5/1/2020 4:00,23,,,,0,,0.9,1.8,
5/1/2020 5:00,56,,,,0,,1.2,2.4,
5/1/2020 6:00,23,,,,0,,1.3,2.6,
5/1/2020 7:00,56,,,,0,,0.3,1.7,
5/1/2020 8:00,270,,,,0,,0.3,1.3,
5/1/2020 9:00,101,,0,,0,,0.7,1.8,0.9
5/1/2020 10:00,68,,,,0,,0.9,2.6,
5/1/2020 11:00,90,,,,0,,1,2.8,
5/1/2020 12:00,113,,,,0,,1,2.3,
5/1/2020 13:00,101,,,,0,,1,2.5,
5/1/2020 14:00,169,,,,0,,0.9,2.7,
5/1/2020 15:00,34,,,,0,,0.9,2.6,
5/1/2020 16:00,214,,,,0,,0.9,2.3,
5/1/2020 17:00,158,,,,0,,0.5,1.5,
5/1/2020 18:00,11,,,,0,,0.1,0.9,
5/1/2020 19:00,326,,,,0,,0.2,0.9,
5/1/2020 20:00,349,,,,0,,0.2,0.8,
5/1/2020 21:00,349,,,,0,,0.4,0.9,
5/1/2020 22:00,349,,,,0,,0.6,1,
5/1/2020 23:00,338,,,,0,,0.5,0.8,
6/1/2020 0:00,349,,,,0,,0.6,1,
6/1/2020 1:00,349,,,,0,,0.8,1.1,
6/1/2020 2:00,349,,,,0,,0.1,0.9,
6/1/2020 3:00,360,,,,0,,0.2,0.9,
6/1/2020 4:00,338,,,,0,,0.4,1,
6/1/2020 5:00,326,,,,0,,0.2,1.2,
6/1/2020 6:00,11,,,,0,,0.3,1.7,
6/1/2020 7:00,23,,,,0,,0.6,1.5,
6/1/2020 8:00,349,,,,0,,0.7,1.9,
6/1/2020 9:00,79,,0,,0,,0.7,1.6,0.6
6/1/2020 10:00,158,,,,0,,0.4,1.7,
6/1/2020 11:00,169,,,,0,,0.5,1.6,
6/1/2020 12:00,79,,,,0,,0.6,2,
6/1/2020 13:00,113,,,,0,,0.4,1.7,
6/1/2020 14:00,45,,,,0,,0.7,2,
6/1/2020 15:00,338,,,,0,,0.9,2.3,
6/1/2020 16:00,45,,,,0,,1.1,3.4,
6/1/2020 17:00,23,,,,0,,1.1,2.3,
6/1/2020 18:00,338,,,,0,,0.9,2.5,
6/1/2020 19:00,23,,,,0,,1.5,3,
6/1/2020 20:00,79,,,,0,,1.7,3.8,
6/1/2020 21:00,360,,,,0,,1.8,6,
6/1/2020 22:00,360,,,,0,,1.9,4.2,
6/1/2020 23:00,68,,,,0,,1.4,3.2,
7/1/2020 0:00,23,,,,0,,1.1,2.3,
7/1/2020 1:00,68,,,,0,,0.9,2.5,
7/1/2020 2:00,338,,,,0,,1.6,3.2,
7/1/2020 3:00,23,,,,0,,1,2.1,
7/1/2020 4:00,349,,,,0,,0.3,1,
7/1/2020 5:00,349,,,,0,,0.4,1.1,
7/1/2020 6:00,360,,,,0,,0.2,0.8,
7/1/2020 7:00,11,,,,0,,0.2,0.9,
7/1/2020 8:00,338,,,,0,,0.6,1.2,
7/1/2020 9:00,23,,0,,0,,0.9,3.2,0.9
7/1/2020 10:00,349,,,,0,,2.2,4.2,
7/1/2020 11:00,45,,,,0,,1.7,3.7,
7/1/2020 12:00,169,,,,0,,1.1,2.6,
7/1/2020 13:00,158,,,,0,,0.8,1.8,
7/1/2020 14:00,101,,,,0,,0.8,2.4,
7/1/2020 15:00,214,,,,0,,0.7,1.9,
7/1/2020 16:00,326,,,,0,,0.5,2.2,
7/1/2020 17:00,45,,,,0,,1,2.5,
7/1/2020 18:00,113,,,,0,,0.4,2.1,
7/1/2020 19:00,270,,,,0,,0.1,0.7,
7/1/2020 20:00,45,,,,0,,0.3,2.4,
7/1/2020 21:00,56,,,,0,,1.5,2.9,
7/1/2020 22:00,45,,,,0,,2.8,6.2,
7/1/2020 23:00,45,,,,0,,1.2,4.9,
8/1/2020 0:00,23,,,,0,,0.8,3.3,
8/1/2020 1:00,45,,,,0,,2.6,4.6,
